"","Viola praemorsa","Arnica latifolia","Phacelia hastata","Heterotheca villosa","Pseudocymopterus montanus","Agoseris glauca","Senecio crassulus","Achnatherum lettermanii","Eriogonum umbellatum","Valeriana acutiloba","Penstemon whippleanus","Indet indet","Lupinus argenteus","Chaenactis douglasii","Poa stenantha","NA NA","Arenaria congesta","Elymus lanceolatus","Ivesia gordonii","Carex siccata"
"Plot 1",0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,5,0
"Plot 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Plot 3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Plot 5",0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,3,0,0
"Plot 6",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,8,0
"Plot 8",0,0,0,7,0,0,1,0,1,0,0,0,0,1,0,0,0,0,3,0
"Plot 9",0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0
"Plot 10",0,0,1,0,0,0,0,0,1,0,0,0,8,0,0,0,0,2,2,0
"Plot 11",0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,5,0
"Plot 12",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0
"Plot 13",0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,8,0,0
"Plot 14",0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,11,1,0
"Plot 15",0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,1,0,5,0
"Plot 16",0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,0
"Plot 17",0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,6,0,0
"Plot 18",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0
"Plot 19",0,0,0,4,0,0,0,0,11,0,0,0,7,0,0,0,0,4,24,0
"Plot 20",0,0,0,1,0,0,1,1,5,0,2,0,2,0,1,0,12,8,10,0
"Plot 21",0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0
"Plot 22",0,0,2,1,0,0,0,0,4,0,1,0,0,0,0,0,1,5,0,0
"Plot 23",0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,3,3,0
"Plot 24",0,0,0,1,0,1,1,0,5,0,0,0,0,3,0,0,0,13,0,0
"Plot 27",0,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,1,5,4,0
"Plot 28",0,1,1,2,0,0,0,0,6,0,0,0,0,0,0,0,0,9,3,0
"Plot 29",0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,0
"Plot 30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Plot 31",0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,6,0,0
"Plot 32",0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,5,0
"Plot 33",0,0,1,4,0,1,1,1,8,0,0,0,1,1,2,0,0,8,12,0
"Plot 34",0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,6,0,0
"Plot 36",0,5,0,0,0,1,0,1,4,0,0,0,0,0,2,0,0,2,1,0
"Plot 37",0,0,0,4,0,0,1,0,4,0,0,0,5,0,1,0,0,0,22,0
"Plot 39",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Plot 40",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0
"Plot 41",0,0,0,3,0,0,1,1,2,0,0,0,0,0,0,0,5,2,1,0
"Plot 42",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Plot 45",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Plot 46",4,1,6,5,0,16,18,1,21,0,0,0,0,0,0,0,17,7,9,38
"Plot 47",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
"Plot 49",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"Plot 50",0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
