"Year","Plot","Tag","Morphoname","Taxon","Identification.uncertain","X..cm.","Y..cm.","Tag.offset.x..cm.","Tag.offset.y..cm.","Died.this.census","Died.this.census.final","Length..cm.","Height..cm.","X..Capitulescences","Is.seedling","Number.of.individuals.represented.by.tag","Length.per.individual..cm.","Height.per.individual..cm.","Notes"
2016,1,"1743","Ivesia gordonii","Ivesia gordonii",0,182,36,-5,-5,0,FALSE,0.4,0.4,0,1,1,,,
2016,1,"1744","Ivesia gordonii","Ivesia gordonii",0,194,32,5,0,0,FALSE,1.3,1.3,0,1,1,,,
2016,1,"1745","Senecio crassulus","Senecio crassulus",0,198,90,-10,0,0,FALSE,1.8,2.3,0,1,1,,,
2016,1,"1746","Senecio crassulus","Senecio crassulus",0,196,146,-5,5,0,FALSE,2.2,2.4,0,1,1,,,
2016,1,"1747","Senecio crassulus","Senecio crassulus",0,198,144,10,0,0,FALSE,1.4,1.9,0,1,1,,,
2016,1,"1748","Lupinus argenteus","Lupinus argenteus",0,198,167,-5,5,0,FALSE,1.3,1.3,0,1,1,,,
2016,1,"1749","Eriogonum umbellatum","Eriogonum umbellatum",0,198,170,-5,5,0,FALSE,2.4,1.1,0,1,2,1.2,0.7,
2016,1,"2","Ivesia gordonii","Ivesia gordonii",0,7,169,-10,-10,0,FALSE,9.5,6,3,0,1,,,
2016,1,"3","Ivesia gordonii","Ivesia gordonii",0,104,19,-10,-10,0,FALSE,18,7.3,30,0,1,,,
2016,1,"4","Ivesia gordonii","Ivesia gordonii",0,102,26,-10,-10,0,FALSE,10,5.2,8,0,1,,,
2016,1,"5","Ivesia gordonii","Ivesia gordonii",0,153,8,-10,-10,0,FALSE,16.3,6.9,31,0,1,,,
2016,1,"6","Ivesia gordonii","Ivesia gordonii",0,127,55,-10,-10,0,FALSE,12.5,6.5,10,0,1,,,
2016,1,"7","Ivesia gordonii","Ivesia gordonii",0,198,25,-10,-10,0,FALSE,13.5,7.9,2,0,1,,,
2016,1,"8","Ivesia gordonii","Ivesia gordonii",0,194,53,-10,-10,0,FALSE,12.9,5.5,10,0,1,,,
2016,1,"9","Ivesia gordonii","Ivesia gordonii",0,177,85,-10,-10,0,FALSE,14.6,8.2,11,0,1,,,
2016,2,"17","Ivesia gordonii","Ivesia gordonii",0,101,171,-5,-5,0,FALSE,5.1,5.6,0,0,1,,,
2016,3,"19","Ivesia gordonii","Ivesia gordonii",0,66,104,-10,-10,0,FALSE,1.5,1.6,0,0,1,,,
2016,3,"2365","Eriogonum umbellatum","Eriogonum umbellatum",0,104,125,-10,-10,0,FALSE,36,5,51,0,1,,,
2016,5,"1072","Lupinus argenteus","Lupinus argenteus",0,25,125,-10,-10,0,FALSE,6,4.4,0,0,1,,,
2016,5,"1073","Lupinus argenteus","Lupinus argenteus",0,50,80,-10,-10,0,FALSE,8.9,5.6,0,0,1,,,
2016,5,"1074","Lupinus argenteus","Lupinus argenteus",0,50,85,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,5,"1075","Lupinus argenteus","Lupinus argenteus",0,35,155,-10,-10,0,TRUE,0,0,0,0,1,,,
2016,5,"1076","Lupinus argenteus","Lupinus argenteus",0,42,150,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,5,"1077","Lupinus argenteus","Lupinus argenteus",0,67,135,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,5,"1078","Lupinus argenteus","Lupinus argenteus",0,67,140,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,5,"1079","Lupinus argenteus","Lupinus argenteus",0,73,145,-10,-10,0,FALSE,7.4,4.3,0,0,1,,,
2016,5,"1080","Lupinus argenteus","Lupinus argenteus",0,80,193,-10,-10,0,FALSE,11,9,0,0,1,,,
2016,5,"1081","Lupinus argenteus","Lupinus argenteus",0,45,181,-10,-10,0,FALSE,11.2,10,0,0,1,,,
2016,5,"1552","Lupinus argenteus","Lupinus argenteus",0,60,86,-10,-10,1,FALSE,0,0,0,0,1,,,
2016,5,"1553","Lupinus argenteus","Lupinus argenteus",0,70,83,-10,-10,0,FALSE,5.7,4,0,0,1,,,"1 stem"
2016,5,"1554","Chaenactis douglasii","Chaenactis douglasii",0,112,37,-10,-10,0,FALSE,6,4.2,0,0,1,,,
2016,5,"1555","Chaenactis douglasii","Chaenactis douglasii",0,170,130,-10,-10,0,FALSE,3.3,2.5,0,0,1,,,
2016,5,"1556","Chaenactis douglasii","Chaenactis douglasii",0,179,125,10,10,0,FALSE,1.3,2.3,0,0,1,,,
2016,5,"1557","Lupinus argenteus","Lupinus argenteus",0,77,199,-10,-10,0,FALSE,8.7,6.9,0,0,1,,,
2016,5,"1750","Lupinus argenteus","Lupinus argenteus",0,35,28,-10,-10,0,FALSE,12.6,7,0,0,1,,,"regrowth"
2016,5,"1751","Agoseris glauca","Agoseris glauca",0,115,39,10,-10,0,FALSE,3,4.3,0,1,1,,,
2016,5,"1752","Lupinus argenteus","Lupinus argenteus",0,85,51,-10,-10,0,FALSE,4,3.7,0,0,1,,,
2016,5,"1753","Lupinus argenteus","Lupinus argenteus",0,130,85,-10,-10,0,FALSE,4,3.6,0,0,1,,,
2016,5,"20","Lupinus argenteus","Lupinus argenteus",0,25,28,-10,-10,0,FALSE,6.4,4.9,0,0,1,,,"4 stems"
2016,5,"21","Lupinus argenteus","Lupinus argenteus",0,33,40,-10,0,1,TRUE,0,0,0,0,1,,,
2016,5,"22","Lupinus argenteus","Lupinus argenteus",0,48,60,-10,-10,0,FALSE,7.8,6.7,0,0,1,,,
2016,5,"23","Lupinus argenteus","Lupinus argenteus",0,27,54,-10,0,1,TRUE,0,0,0,0,1,,,
2016,5,"24","Lupinus argenteus","Lupinus argenteus",0,25,65,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,5,"25","Lupinus argenteus","Lupinus argenteus",0,22,70,-10,-10,0,FALSE,20,8.1,0,0,1,,,"3 stems"
2016,5,"26","Eriogonum umbellatum","Eriogonum umbellatum",0,113,48,-10,-10,0,FALSE,35,4,30,0,1,,,
2016,5,"27","Ivesia gordonii","Ivesia gordonii",0,200,20,-10,-10,0,FALSE,8.2,1.5,7,0,1,,,
2016,5,"28","Ivesia gordonii","Ivesia gordonii",0,130,68,-10,-10,0,FALSE,15.4,4.5,0,0,1,,,
2016,5,"29","Ivesia gordonii","Ivesia gordonii",0,5,123,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,5,"30","Lupinus argenteus","Lupinus argenteus",0,55,170,-10,-10,0,FALSE,3.5,3.6,0,0,1,,,
2016,5,"31","Lupinus argenteus","Lupinus argenteus",0,57,185,-10,-10,0,FALSE,5.8,5.5,0,0,1,,,
2016,5,"33","Lupinus argenteus","Lupinus argenteus",0,98,155,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,5,"34","Lupinus argenteus","Lupinus argenteus",0,170,180,-10,-10,0,FALSE,5.7,3.7,0,0,1,,,"new x coordinate"
2016,5,"35","Eriogonum umbellatum","Eriogonum umbellatum",0,150,130,-10,-10,0,FALSE,19,3.5,28,0,1,,,
2016,5,"36","Heterotheca villosa","Heterotheca villosa",0,155,115,-10,-10,0,FALSE,13.7,12,10,0,1,,,
2016,5,"38","Eriogonum umbellatum","Eriogonum umbellatum",0,160,120,-10,-10,0,FALSE,40,6.7,72,0,1,,,"Height and Cap data corrected so that it includes the values from 37 and 39. Need to look at photos to get a length value."
2016,5,"40","Heterotheca villosa","Heterotheca villosa",0,190,120,0,10,1,TRUE,0,0,0,0,1,,,
2016,5,"41","Elymus lanceolatus","Elymus lanceolatus",0,184,115,5,5,0,FALSE,27,26,13,0,1,,,"9 clumps"
2016,6,"1082","Ivesia gordonii","Ivesia gordonii",0,178,8,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,6,"1083","Ivesia gordonii","Ivesia gordonii",0,170,12,-10,-10,0,FALSE,2,3,0,0,1,,,
2016,6,"1084","Ivesia gordonii","Ivesia gordonii",0,170,14,-10,-10,0,FALSE,1,1,0,0,1,,,
2016,6,"1085","Ivesia gordonii","Ivesia gordonii",0,170,18,-10,-2,0,FALSE,1.5,2.5,0,0,1,,,
2016,6,"1086","Ivesia gordonii","Ivesia gordonii",0,182,8,-10,-10,0,FALSE,1,2,0,0,1,,,
2016,6,"1087","Ivesia gordonii","Ivesia gordonii",0,182,8,-10,-10,0,FALSE,1,2,0,0,1,,,
2016,6,"1088","Ivesia gordonii","Ivesia gordonii",0,184,3.5,0,-10,1,TRUE,0,0,0,0,1,,,
2016,6,"1089","Ivesia gordonii","Ivesia gordonii",0,112,40,-10,-10,0,FALSE,2,2.5,0,0,1,,,
2016,6,"1558","Elymus lanceolatus","Elymus lanceolatus",0,121,63,-10,-10,0,FALSE,22,21,10,0,1,,,"1 clump"
2016,6,"1741","Ivesia gordonii","Ivesia gordonii",0,130,50,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,6,"1754","Ivesia gordonii","Ivesia gordonii",0,170,2,-10,-10,0,FALSE,1,1,0,1,1,,,
2016,6,"1755","Ivesia gordonii","Ivesia gordonii",0,71,50.5,-10,-10,0,FALSE,2.5,2.5,0,0,1,,,
2016,6,"1756","Ivesia gordonii","Ivesia gordonii",0,14,165,-10,-10,0,FALSE,2,2,0,0,1,,,
2016,6,"1757","Senecio crassulus","Senecio crassulus",0,17,134,-10,-10,0,FALSE,2,2,0,1,1,,,"maybe AGOGLA"
2016,6,"43","Ivesia gordonii","Ivesia gordonii",0,195,25,-10,-10,0,FALSE,23,10,23,0,1,,,
2016,6,"44","Eriogonum umbellatum","Eriogonum umbellatum",0,124,53,-10,-10,0,FALSE,29,4,5,0,1,,,
2016,6,"45","Elymus lanceolatus","Elymus lanceolatus",0,116,55,-10,0,0,FALSE,20,17,6,0,1,,,"2 clumps"
2016,6,"46","Elymus lanceolatus","Elymus lanceolatus",0,124,50,10,0,0,FALSE,22,24,6,0,1,,,"3 clumps"
2016,6,"47","Ivesia gordonii","Ivesia gordonii",0,70,90,-10,-10,0,FALSE,19,5,15,0,1,,,
2016,6,"48","Ivesia gordonii","Ivesia gordonii",0,70,105,-10,-10,0,FALSE,22,7,24,0,1,,,
2016,6,"49","Ivesia gordonii","Ivesia gordonii",0,149,166,-10,-10,0,FALSE,9,6,6,0,1,,,
2016,6,"50","Ivesia gordonii","Ivesia gordonii",0,154,158,-10,-10,0,FALSE,5,3,0,0,1,,,
2016,6,"51","Ivesia gordonii","Ivesia gordonii",0,130,110,10,0,0,FALSE,13,5.5,14,0,1,,,
2016,7,"1090","Ivesia gordonii","Ivesia gordonii",0,47,150,-10,-10,0,FALSE,2.5,3,0,0,1,,,
2016,7,"52","Ivesia gordonii","Ivesia gordonii",0,135,80,-10,-10,0,FALSE,9.5,5.5,2,0,1,,,
2016,8,"1091","Lupinus argenteus","Lupinus argenteus",0,92,195,-10,-10,0,FALSE,1.5,1.5,0,0,1,,,
2016,8,"1092","Senecio crassulus","Senecio crassulus",0,100,138,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,8,"1559","Lupinus argenteus","Lupinus argenteus",0,44,155,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,8,"1560","Lupinus argenteus","Lupinus argenteus",0,181,177,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,8,"1561","Lupinus argenteus","Lupinus argenteus",0,194,130,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,8,"1758","Lupinus argenteus","Lupinus argenteus",0,164,172,-10,-10,0,FALSE,1,1.5,0,0,1,,,"ramet"
2016,8,"1759","Senecio crassulus","Senecio crassulus",0,156,172,-10,-10,0,FALSE,0.5,1,0,1,1,,,
2016,8,"1760","Senecio crassulus","Senecio crassulus",0,168,168,-10,-10,0,FALSE,0.3,0.5,0,1,1,,,
2016,8,"1761","Chaenactis douglasii","Chaenactis douglasii",0,166,165,0,-10,0,FALSE,2.5,2,0,0,1,,,
2016,8,"1762","Chaenactis douglasii","Chaenactis douglasii",0,169,167,0,-10,0,FALSE,3.5,2,0,0,1,,,
2016,8,"1763","Lupinus argenteus","Lupinus argenteus",0,185,147,-10,-10,0,FALSE,14,7,0,0,1,,,"2 stems"
2016,8,"1764","Lupinus argenteus","Lupinus argenteus",0,174,155,-10,-10,0,FALSE,25,9,0,0,1,,,"6 stems in vertical line"
2016,8,"1765","Lupinus argenteus","Lupinus argenteus",0,200,118,-10,-10,0,FALSE,14,8,0,0,1,,,"probably new regrowth of 1561"
2016,8,"2520","Eriogonum umbellatum","Eriogonum umbellatum",0,112,162,-5,-5,0,FALSE,9,2.5,0,0,1,,,
2016,8,"53","Ivesia gordonii","Ivesia gordonii",0,15,80,-10,-10,0,FALSE,7.5,5.5,3,0,1,,,
2016,8,"54","Lupinus argenteus","Lupinus argenteus",0,30,110,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,8,"55","Ivesia gordonii","Ivesia gordonii",0,32,135,-10,-10,0,FALSE,11,5,15,0,1,,,
2016,8,"56","Lupinus argenteus","Lupinus argenteus",0,35,175,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,8,"57","Lupinus argenteus","Lupinus argenteus",0,40,195,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,8,"58","Lupinus argenteus","Lupinus argenteus",0,60,180,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,8,"59","Lupinus argenteus","Lupinus argenteus",0,75,190,-10,-10,0,FALSE,11,6,0,0,1,,,
2016,8,"60","Lupinus argenteus","Lupinus argenteus",0,80,190,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,8,"61","Lupinus argenteus","Lupinus argenteus",0,100,195,10,0,1,TRUE,0,0,0,0,1,,,
2016,8,"62","Lupinus argenteus","Lupinus argenteus",0,75,160,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,8,"63","Lupinus argenteus","Lupinus argenteus",0,90,170,-10,0,1,TRUE,0,0,0,0,1,,,
2016,8,"64","Lupinus argenteus","Lupinus argenteus",0,95,170,-10,-10,0,FALSE,8,6,0,0,1,,,
2016,8,"65","Lupinus argenteus","Lupinus argenteus",0,105,170,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,8,"67","Phacelia hastata","Phacelia hastata",0,170,195,-10,-10,0,FALSE,26,7,0,0,1,,,
2016,8,"68","Lupinus argenteus","Lupinus argenteus",0,160,180,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,8,"69","Lupinus argenteus","Lupinus argenteus",0,180,175,0,10,1,TRUE,0,0,0,0,1,,,
2016,8,"70","Lupinus argenteus","Lupinus argenteus",0,170,170,-10,-10,0,FALSE,1,1,0,0,1,,,"mostly dead"
2016,8,"72","Lupinus argenteus","Lupinus argenteus",0,165,160,-10,-10,0,TRUE,0,0,0,0,1,,,
2016,8,"73","Lupinus argenteus","Lupinus argenteus",0,165,150,-10,-10,0,FALSE,7.5,7,0,0,1,,,
2016,8,"74","Lupinus argenteus","Lupinus argenteus",0,175,150,10,0,1,TRUE,0,0,0,0,1,,,
2016,8,"75","Lupinus argenteus","Lupinus argenteus",0,180,125,-10,-10,0,FALSE,6.5,3,0,0,1,,,
2016,8,"76","Ivesia gordonii","Ivesia gordonii",0,175,115,-10,-10,0,FALSE,4,2.5,2,0,1,,,"2 stems"
2016,8,"77","Ivesia gordonii","Ivesia gordonii",0,145,100,-10,-10,0,FALSE,12,3,13,0,1,,,
2016,8,"78","Eriogonum umbellatum","Eriogonum umbellatum",0,185,65,-10,-10,0,FALSE,24,3,9,0,1,,,
2016,8,"79","Ivesia gordonii","Ivesia gordonii",0,190,80,10,0,0,FALSE,20,7,25,0,1,,,"3 clumps"
2016,8,"80","Lupinus argenteus","Lupinus argenteus",0,105,90,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,8,"81","Ivesia gordonii","Ivesia gordonii",0,96,83,-10,-10,0,FALSE,7,5,0,0,1,,,
2016,8,"82","Lupinus argenteus","Lupinus argenteus",0,130,50,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,9,"1093","Ivesia gordonii","Ivesia gordonii",0,40,12,-10,-10,0,FALSE,2.5,2.5,0,0,1,,,
2016,9,"1094","Lupinus argenteus","Lupinus argenteus",0,192,68,-10,-10,0,FALSE,4,3.5,0,0,1,,,
2016,9,"1766","Phacelia hastata","Chaenactis douglasii",0,193,76,-10,-10,0,FALSE,0.5,0.5,0,1,1,,,
2016,9,"1767","Ivesia gordonii","Ivesia gordonii",0,200,65,-10,-10,0,FALSE,0.3,0.5,0,1,1,,,
2016,9,"83","Ivesia gordonii","Ivesia gordonii",0,60,75,-10,-10,0,FALSE,7.5,4,0,0,1,,,
2016,9,"85","Ivesia gordonii","Ivesia gordonii",0,135,175,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,9,"86","Elymus lanceolatus","Elymus lanceolatus",0,186,140,-10,-10,0,FALSE,25,22,7,0,1,,,"4 clumps"
2016,9,"87","Ivesia gordonii","Ivesia gordonii",0,189,76,-10,-10,0,FALSE,17,5,6,0,1,,,
2016,9,"88","Heterotheca villosa","Heterotheca villosa",0,184,17,-10,-10,0,FALSE,7,3,0,0,1,,,
2016,10,"100","Lupinus argenteus","Lupinus argenteus",0,70,60,-10,-10,0,FALSE,13.5,8,1,0,1,,,
2016,10,"101","Lupinus argenteus","Lupinus argenteus",0,70,45,-10,-10,0,FALSE,15.5,10,2,0,1,,,
2016,10,"102","Lupinus argenteus","Lupinus argenteus",0,60,40,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,10,"103","Lupinus argenteus","Lupinus argenteus",0,80,60,-10,-10,0,FALSE,2.7,6,0,0,1,,,
2016,10,"104","Lupinus argenteus","Lupinus argenteus",0,95,50,-10,-10,0,FALSE,15.5,10,2,0,1,,,
2016,10,"105","Lupinus argenteus","Lupinus argenteus",0,80,45,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,10,"106","Lupinus argenteus","Lupinus argenteus",0,85,40,10,0,0,FALSE,16,15.5,0,0,1,,,
2016,10,"107","Lupinus argenteus","Lupinus argenteus",0,80,35,-10,-10,0,FALSE,10,6.3,0,0,1,,,
2016,10,"108","Elymus lanceolatus","Elymus lanceolatus",0,101,52,-10,-10,0,FALSE,20,32,17,0,1,,,
2016,10,"109","Lupinus argenteus","Lupinus argenteus",0,80,60,-10,-10,0,FALSE,5.5,6,0,0,1,,,"2 stems"
2016,10,"1095","Lupinus argenteus","Lupinus argenteus",0,8,0,-10,-10,0,FALSE,9,6,0,0,1,,,"2 stems"
2016,10,"1096","Lupinus argenteus","Lupinus argenteus",0,13,13,-10,-10,0,FALSE,4,3,0,0,1,,,
2016,10,"1097","Lupinus argenteus","Lupinus argenteus",0,25,23,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,10,"1098","Lupinus argenteus","Lupinus argenteus",0,22,33,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,10,"1099","Lupinus argenteus","Lupinus argenteus",0,16,42,-10,-10,0,FALSE,1.5,2,0,0,1,,,
2016,10,"110","Lupinus argenteus","Lupinus argenteus",0,100,10,-10,-10,0,FALSE,13.7,8.2,1,0,1,,,
2016,10,"1100","Lupinus argenteus","Lupinus argenteus",0,33,66,-10,-10,0,FALSE,8,3.5,0,0,1,,,"2 stems"
2016,10,"1101","Lupinus argenteus","Lupinus argenteus",0,16,66,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,10,"1102","Chaenactis douglasii","Chaenactis douglasii",0,66,52,-10,-10,0,FALSE,7,13.9,0,0,1,,,"misidentification in 2015"
2016,10,"1103","Lupinus argenteus","Lupinus argenteus",0,157,15,-10,-10,0,FALSE,1.7,1.7,0,0,1,,,
2016,10,"1104","Lupinus argenteus","Lupinus argenteus",0,188,43,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,10,"1105","Lupinus argenteus","Lupinus argenteus",0,150,81,-10,-10,0,FALSE,1.7,2.3,0,0,1,,,
2016,10,"1106","Lupinus argenteus","Lupinus argenteus",0,105,83,-10,-10,0,FALSE,11.8,6,0,0,1,,,
2016,10,"1107","Lupinus argenteus","Lupinus argenteus",0,140,122,-10,-10,0,FALSE,1.7,1.3,0,0,1,,,
2016,10,"1108","Lupinus argenteus","Lupinus argenteus",0,185,95,-10,-10,0,FALSE,10.7,6.8,0,0,1,,,"2 stems"
2016,10,"1109","Lupinus argenteus","Lupinus argenteus",0,42,88,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,10,"111","Ivesia gordonii","Ivesia gordonii",0,140,65,-10,-10,0,FALSE,12.4,6.2,5,0,1,,,
2016,10,"1110","Lupinus argenteus","Lupinus argenteus",0,22,132,-10,-10,1,TRUE,0,0,0,0,1,,,
2016,10,"1111","Lupinus argenteus","Lupinus argenteus",0,5,138,-10,-10,0,FALSE,7,8,0,0,1,,,
2016,10,"1112","Lupinus argenteus","Lupinus argenteus",0,14,146,-10,-10,0,FALSE,8,4,0,0,1,,,"2 stems"
2016,10,"1113","Lupinus argenteus","Lupinus argenteus",0,48,170,-10,-10,0,FALSE,1,1.5,0,0,1,,,
2016,10,"1114","Lupinus argenteus","Lupinus argenteus",0,105,133,-10,-10,0,FALSE,2.7,3.7,0,0,1,,,
2016,10,"1115","Lupinus argenteus","Lupinus argenteus",0,143,190,-10,-10,0,FALSE,2.5,2,0,0,1,,,"almost dead"
2016,10,"112","Ivesia gordonii","Ivesia gordonii",0,119,89,-10,-10,0,FALSE,5.7,4,1,0,1,,,
2016,10,"113","Ivesia gordonii","Ivesia gordonii",0,115,95,-10,-10,0,FALSE,6,3.9,3,0,1,,,
2016,10,"114","Eriogonum umbellatum","Eriogonum umbellatum",0,101,103,-10,-10,0,FALSE,6.5,2,0,0,1,,,
2016,10,"115","Ivesia gordonii","Ivesia gordonii",0,97,110,-10,-10,0,FALSE,15.8,5.5,9,0,1,,,
2016,10,"1562","Lupinus argenteus","Lupinus argenteus",0,8,105,-10,-10,1,FALSE,0,0,0,0,1,,,
2016,10,"1768","Lupinus argenteus","Lupinus argenteus",0,50,35,-10,-10,0,FALSE,3.5,5.5,0,0,1,,,
2016,10,"1769","Lupinus argenteus","Lupinus argenteus",0,43,25,-10,-10,0,FALSE,5.5,5,0,0,1,,,
2016,10,"1770","Lupinus argenteus","Lupinus argenteus",0,50,1,-10,-10,0,FALSE,5,4,0,0,1,,,
2016,10,"1771","Heterotheca villosa","Heterotheca villosa",0,27,72,-10,-10,0,FALSE,1,0.5,0,1,1,,,
2016,10,"1772","Lupinus argenteus","Lupinus argenteus",0,28,113,-10,-10,0,FALSE,4.5,4,0,0,1,,,
2016,10,"1773","Chaenactis douglasii","Chaenactis douglasii",0,29,182,-10,-10,0,FALSE,3,2,0,1,1,,,
2016,10,"1774","Lupinus argenteus","Lupinus argenteus",0,146,123,-10,-10,0,FALSE,3.7,3.9,0,0,1,,,
2016,10,"1775","Lupinus argenteus","Lupinus argenteus",0,123,123,-5,-5,0,FALSE,7.7,5.7,0,0,1,,,
2016,10,"1776","Lupinus argenteus","Lupinus argenteus",0,63,88,-10,0,0,FALSE,6.3,5.4,0,0,1,,,"same individual as 1775"
2016,10,"1777","Lupinus argenteus","Lupinus argenteus",0,68,87,-10,0,0,FALSE,5.7,5.8,0,0,1,,,
2016,10,"1778","Lupinus argenteus","Lupinus argenteus",0,68,97,-10,0,0,FALSE,5.7,5.4,0,0,1,,,
2016,10,"1779","Lupinus argenteus","Lupinus argenteus",0,75,90,0,-5,0,FALSE,6,5.8,0,0,1,,,
2016,10,"1780","Lupinus argenteus","Lupinus argenteus",0,75,72,-10,-10,0,FALSE,3.6,4.9,0,0,1,,,
