"","Penstemon whippleanus","NA NA","Valeriana acutiloba","Indet indet","Carex siccata","Eriogonum umbellatum","Phacelia hastata","Elymus lanceolatus","Agoseris glauca","Pseudocymopterus montanus","Ivesia gordonii","Viola praemorsa","Achnatherum lettermanii","Heterotheca villosa","Poa stenantha","Senecio crassulus","Arenaria congesta","Chaenactis douglasii","Lupinus argenteus","Arnica latifolia"
"Plot 1",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,3,0
"Plot 2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Plot 3",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Plot 5",0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,1,0
"Plot 6",0,0,0,0,0,1,0,3,0,0,8,0,0,0,0,1,0,0,0,0
"Plot 8",0,0,0,0,0,2,0,0,0,0,3,0,0,7,0,1,0,1,0,0
"Plot 9",0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,1,1,0
"Plot 10",0,0,0,0,0,1,1,2,0,0,2,0,0,0,0,0,0,0,8,0
"Plot 11",0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,5,0
"Plot 12",0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0
"Plot 13",0,0,0,0,0,7,0,8,0,0,0,0,0,3,0,0,0,0,0,0
"Plot 14",0,0,0,0,0,3,0,12,0,0,1,0,0,1,0,0,0,0,0,0
"Plot 15",0,0,0,0,0,5,0,0,0,0,5,0,0,1,0,0,1,0,0,0
"Plot 16",0,0,0,0,0,2,0,2,0,0,3,0,0,0,0,0,0,0,0,1
"Plot 17",0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,3,0
"Plot 18",0,0,0,0,0,1,0,2,0,0,4,0,0,1,0,0,0,0,0,0
"Plot 19",0,0,0,0,0,11,0,4,0,0,24,0,0,4,0,0,0,0,7,0
"Plot 20",2,0,0,0,0,5,0,8,0,0,10,0,1,1,1,1,13,0,2,0
"Plot 21",0,0,0,0,0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"Plot 22",1,0,0,0,0,4,2,5,0,0,0,0,0,1,0,0,1,1,0,0
"Plot 23",0,0,0,0,0,3,0,3,0,0,3,0,0,1,0,0,0,0,1,0
"Plot 24",0,0,0,0,0,5,0,13,1,0,1,0,0,1,0,1,0,3,0,0
"Plot 27",0,0,0,0,0,6,0,5,1,0,4,0,0,0,0,0,1,1,0,0
"Plot 28",0,0,0,0,0,6,1,9,0,0,3,0,0,2,0,0,0,0,0,1
"Plot 29",0,0,0,0,0,1,0,6,0,0,0,0,0,1,0,0,0,0,1,0
"Plot 30",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Plot 31",0,0,0,0,0,2,0,6,0,0,0,0,3,0,0,0,0,0,0,0
"Plot 32",0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,2,0
"Plot 33",0,0,0,0,0,8,1,8,1,0,12,0,1,4,2,1,0,1,1,0
"Plot 34",0,0,0,0,0,4,1,6,0,0,0,0,0,0,0,0,0,1,0,0
"Plot 36",0,0,0,0,0,4,0,2,1,0,1,0,1,0,2,0,0,0,0,5
"Plot 37",0,0,0,0,0,4,0,0,0,0,22,0,0,4,1,1,0,0,5,0
"Plot 39",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plot 40",0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Plot 41",1,0,0,0,0,2,0,2,0,0,1,0,1,3,0,1,5,0,0,0
"Plot 42",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plot 45",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Plot 46",0,0,0,0,38,22,6,7,16,0,9,4,1,5,0,18,17,0,0,1
"Plot 47",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Plot 49",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Plot 50",0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1
