"","Penstemon whippleanus","NA NA","Valeriana acutiloba","Indet indet","Carex siccata","Eriogonum umbellatum","Phacelia hastata","Elymus lanceolatus","Agoseris glauca","Pseudocymopterus montanus","Ivesia gordonii","Viola praemorsa","Achnatherum lettermanii","Heterotheca villosa","Poa stenantha","Senecio crassulus","Arenaria congesta","Chaenactis douglasii","Lupinus argenteus","Arnica latifolia"
"Plot 1",0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,1,0
"Plot 2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Plot 3",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Plot 5",0,0,0,0,0,5,0,1,0,0,3,0,0,2,0,0,0,3,11,0
"Plot 6",0,0,0,0,0,1,0,3,0,0,6,0,0,0,0,0,0,0,0,0
"Plot 7",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Plot 8",0,0,0,0,0,2,1,0,0,0,6,0,0,0,0,0,0,0,21,0
"Plot 9",0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,2,0
"Plot 10",0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,20,0
"Plot 11",0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0
"Plot 12",0,0,0,0,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0
"Plot 13",0,0,0,0,0,5,0,11,0,0,0,0,0,3,0,0,0,1,0,0
"Plot 14",0,0,0,0,0,2,0,14,0,0,0,0,0,1,0,0,0,0,2,0
"Plot 15",0,0,0,0,0,2,0,0,0,0,10,0,0,0,0,0,1,0,38,0
"Plot 16",0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,1,64,0
"Plot 17",0,0,0,0,0,1,0,7,0,0,0,0,0,2,0,0,0,0,34,0
"Plot 18",0,0,0,0,0,1,0,2,0,0,8,0,0,1,0,0,0,0,0,0
"Plot 19",0,0,0,0,0,12,0,3,0,0,18,0,0,4,0,1,0,0,1,0
"Plot 20",1,0,0,0,0,7,0,14,1,1,11,0,1,3,0,2,6,2,23,0
"Plot 21",0,0,0,1,0,12,0,2,0,0,1,0,3,3,0,0,0,0,0,0
"Plot 22",0,0,0,0,0,4,2,3,0,0,1,0,0,1,0,0,0,0,0,0
"Plot 23",0,0,0,0,0,3,0,3,1,0,4,0,0,2,0,0,0,0,3,0
"Plot 24",0,0,0,0,0,7,0,15,0,0,0,0,0,2,0,2,0,0,1,0
"Plot 25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"Plot 27",0,0,0,0,0,7,0,8,4,0,6,0,1,5,0,1,1,0,0,0
"Plot 28",0,0,0,0,0,8,3,13,1,1,19,0,0,1,0,1,1,0,1,1
"Plot 29",0,0,0,0,0,1,0,9,0,0,1,0,0,1,0,0,0,1,35,0
"Plot 30",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Plot 31",0,0,0,0,0,3,1,11,0,0,0,0,4,0,0,0,0,0,0,0
"Plot 32",0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,1,0
"Plot 33",0,0,0,0,0,10,0,4,2,0,18,0,1,4,6,0,0,0,14,0
"Plot 34",0,0,0,0,0,4,0,5,0,0,1,0,0,0,0,0,0,0,0,0
"Plot 35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Plot 36",0,0,0,0,0,6,0,3,1,0,2,0,1,5,2,2,0,0,5,2
"Plot 37",0,0,0,0,0,2,0,0,0,0,12,0,1,2,0,0,0,0,21,0
"Plot 38",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Plot 39",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Plot 40",0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,5,0
"Plot 41",0,0,0,0,0,2,0,1,1,0,2,0,3,2,0,1,1,0,9,3
"Plot 42",0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,7,0
"Plot 45",0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0
"Plot 46",0,0,0,0,37,28,3,7,12,0,6,2,1,32,0,7,3,0,20,0
"Plot 47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Plot 49",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,0
"Plot 50",0,0,0,0,0,5,0,1,0,0,9,0,0,3,0,0,0,0,0,0
