"","Penstemon whippleanus","NA NA","Valeriana acutiloba","Indet indet","Carex siccata","Eriogonum umbellatum","Phacelia hastata","Elymus lanceolatus","Agoseris glauca","Pseudocymopterus montanus","Ivesia gordonii","Viola praemorsa","Achnatherum lettermanii","Heterotheca villosa","Poa stenantha","Senecio crassulus","Arenaria congesta","Chaenactis douglasii","Lupinus argenteus","Arnica latifolia"
"Plot 1",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,3,0
"Plot 2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Plot 3",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Plot 5",0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,2,0
"Plot 6",0,0,0,0,0,1,0,3,0,0,7,0,0,0,0,1,0,0,0,0
"Plot 7",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Plot 8",0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,2,0,2,1,0
"Plot 9",0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,1,1,0
"Plot 10",0,0,0,0,0,1,1,2,0,0,2,0,0,0,0,0,0,0,11,0
"Plot 11",0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,8,0
"Plot 12",0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0
"Plot 13",0,0,0,0,0,7,1,10,0,0,0,0,0,3,0,0,0,0,0,0
"Plot 14",0,0,0,0,0,3,0,13,0,0,1,0,0,1,0,0,0,0,0,0
"Plot 15",0,0,0,0,0,5,0,0,0,0,9,0,0,1,0,0,1,0,4,0
"Plot 16",0,0,0,0,0,4,0,2,0,0,3,0,0,0,0,0,0,0,0,1
"Plot 17",0,0,0,0,0,1,0,7,1,0,0,0,0,1,0,0,0,0,5,0
"Plot 18",0,0,0,0,0,1,0,2,0,0,4,0,0,1,0,0,0,0,0,0
"Plot 19",0,0,0,0,0,13,0,4,0,0,23,0,0,4,0,0,0,1,8,0
"Plot 20",1,0,0,0,0,9,1,6,0,0,12,0,1,1,1,1,10,2,2,0
"Plot 21",0,0,0,0,0,4,0,0,0,0,1,0,3,0,1,0,0,0,0,0
"Plot 22",1,0,0,0,0,4,3,4,0,0,0,0,0,0,0,0,1,0,1,0
"Plot 23",0,0,0,0,0,3,0,3,0,0,3,0,0,1,0,0,0,0,1,0
"Plot 24",0,0,0,0,0,5,0,13,1,0,0,0,0,0,0,1,0,1,0,0
"Plot 27",0,0,0,0,0,6,0,7,1,0,4,0,1,0,0,0,1,0,0,0
"Plot 28",0,0,0,0,0,6,1,6,0,0,3,0,0,0,0,2,0,0,0,0
"Plot 29",0,0,0,0,0,1,0,6,0,0,1,0,0,1,0,0,0,0,1,0
"Plot 30",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Plot 31",0,0,0,0,0,2,1,5,0,0,0,0,5,0,0,0,0,0,0,0
"Plot 32",0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,6,0
"Plot 33",0,0,0,0,0,7,1,7,1,0,7,0,1,3,3,2,0,1,4,0
"Plot 34",0,0,0,0,0,4,1,7,0,0,0,0,0,0,0,0,0,1,0,0
"Plot 36",0,0,0,0,0,4,0,2,1,0,2,0,1,0,2,1,0,0,0,4
"Plot 37",0,0,0,0,0,4,0,0,0,0,21,0,0,4,1,1,0,0,10,0
"Plot 39",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plot 40",0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Plot 41",0,0,0,0,0,2,2,2,0,0,1,0,2,3,0,1,5,0,1,4
"Plot 42",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"Plot 45",0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Plot 46",0,0,0,0,42,13,5,7,17,0,8,3,1,6,0,21,18,0,1,1
"Plot 47",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Plot 49",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Plot 50",0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1
